content,content_clean,content_preprocessing
"Kok gak bisa ke buka aplikasi, katanya ""gak ada koneksi internet"" padahal udah forji jaringannya",kok gak bisa ke buka aplikasi katanya gak ada koneksi internet padahal udah forji jaringannya,"['kok', 'gak', 'buka', 'aplikasi', 'katanya', 'gak', 'koneksi', 'internet', 'padahal', 'udah', 'forji', 'jaringannya']"
"Udah hadir 3 pertemuan scane code tetep keterangan nya 0 0 0 0 Terus notif telat muncul, jadwal ngaco dll Apk ini masih prematur udah launching jadi gini dah, bukanya mempermudah malah ribet",udah hadir  pertemuan scane code tetep keterangan nya     terus notif telat muncul jadwal ngaco dll apk ini masih prematur udah launching jadi gini dah bukanya mempermudah malah ribet,"['udah', 'hadir', 'pertemuan', 'scane', 'code', 'tetep', 'keterangan', 'nya', 'terus', 'notif', 'telat', 'muncul', 'jadwal', 'ngaco', 'apk', 'prematur', 'udah', 'launching', 'jadi', 'gini', 'dah', 'bukanya', 'mempermudah', 'malah', 'ribet']"
"Kok gini amat apkx,,masalah koneksi truss pdahl jriganku bgus lo",kok gini amat apkxmasalah koneksi truss pdahl jriganku bgus lo,"['kok', 'gini', 'apkxmasalah', 'koneksi', 'truss', 'pdahl', 'jriganku', 'bgus', 'lo']"
"Halo! Saya mau bertanya, kenapa jadwal di kalender edlink saya gak muncul ya? jadi kalo mau liat jadwal keseluruhan susah, mohon tanggapannya.",halo saya mau bertanya kenapa jadwal di kalender edlink saya gak muncul ya jadi kalo mau liat jadwal keseluruhan susah mohon tanggapannya,"['halo', 'mau', 'bertanya', 'jadwal', 'kalender', 'edlink', 'gak', 'muncul', 'jadi', 'kalo', 'mau', 'liat', 'jadwal', 'keseluruhan', 'susah', 'mohon', 'tanggapannya']"
"Ini gimana ya? Makin jelek edlink skrng, pdhl kemarin sudah membayar di bank, tpi keterangan transaksi belum berhasil",ini gimana ya makin jelek edlink skrng pdhl kemarin sudah membayar di bank tpi keterangan transaksi belum berhasil,"['gimana', 'makin', 'jelek', 'edlink', 'skrng', 'pdhl', 'kemarin', 'membayar', 'bank', 'tpi', 'keterangan', 'transaksi', 'berhasil']"
"Harusnya yaaa setelah pemeliharaan sistem ituuu, aplikasinya semakin bagus tapi ini enggak Malah ngedown dan error' yang merugikan penggunanya Udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect Ini gimana yaaa sistemnya, kalau bisa bikin aplikasi jangan merugikan penggunanya",harusnya yaaa setelah pemeliharaan sistem ituuu aplikasinya semakin bagus tapi ini enggak malah ngedown dan error yang merugikan penggunanya udah mbayar tagihan sesuai yang ditentukan dan nomer tujuan pengiriman juga benar tapi di aplikasi malah ga ke detect ini gimana yaaa sistemnya kalau bisa bikin aplikasi jangan merugikan penggunanya,"['harusnya', 'yaaa', 'pemeliharaan', 'sistem', 'ituuu', 'aplikasinya', 'semakin', 'bagus', 'enggak', 'malah', 'ngedown', 'error', 'merugikan', 'penggunanya', 'udah', 'mbayar', 'tagihan', 'sesuai', 'ditentukan', 'nomer', 'tujuan', 'pengiriman', 'benar', 'aplikasi', 'malah', 'ga', 'detect', 'gimana', 'yaaa', 'sistemnya', 'kalau', 'bikin', 'aplikasi', 'jangan', 'merugikan', 'penggunanya']"
"Tingkatkan lagi, jangan ad masalah lagi👌👌",tingkatkan lagi jangan ad masalah lagi,"['tingkatkan', 'jangan', 'ad', 'masalah']"
nyusahin,nyusahin,['nyusahin']
"Tidak bisa buka aplikasi. ""Masalah koneksi tidak terhubung ke internet"". Padahal kuota internet masih ada. Sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama. Apa sedang ada gangguan server/bagaimana?",tidak bisa buka aplikasi masalah koneksi tidak terhubung ke internet padahal kuota internet masih ada sudah coba buka di perangkat yg berbeda namun hasilnya tetap sama apa sedang ada gangguan serverbagaimana,"['buka', 'aplikasi', 'masalah', 'koneksi', 'terhubung', 'internet', 'padahal', 'kuota', 'internet', 'coba', 'buka', 'perangkat', 'yg', 'berbeda', 'hasilnya', 'tetap', 'sama', 'apa', 'sedang', 'gangguan', 'serverbagaimana']"
"Kenapa saya sering dapat gangguan jaringan min, aplikasinya gk bisa dibuka",kenapa saya sering dapat gangguan jaringan min aplikasinya gk bisa dibuka,"['sering', 'gangguan', 'jaringan', 'min', 'aplikasinya', 'gk', 'dibuka']"
