content,content_clean,content_preprocessing
Update yang sekarang lebih keren lebih simpel,update yang sekarang lebih keren lebih simpel,"['update', 'sekarang', 'lebih', 'keren', 'lebih', 'simpel']"
"UInya berantakan, uxnya juga ribet",uinya berantakan uxnya juga ribet,"['uinya', 'berantakan', 'uxnya', 'ribet']"
Terlalu sering update payah,terlalu sering update payah,"['terlalu', 'sering', 'update', 'payah']"
"Aku suka tampilan beranda yang baru, di paling atas ada jadwal kuliah nya dan ada tenggat waktu mata pelajaran dimulai misal : 26 menit lagi (jam kuliah b.indo akan di mulai), jadi gak perlu cek manual di jadwal + mengira-ngira waktu, karena udah ada di beranda",aku suka tampilan beranda yang baru di paling atas ada jadwal kuliah nya dan ada tenggat waktu mata pelajaran dimulai misal   menit lagi jam kuliah bindo akan di mulai jadi gak perlu cek manual di jadwal  mengirangira waktu karena udah ada di beranda,"['aku', 'suka', 'tampilan', 'beranda', 'baru', 'paling', 'atas', 'jadwal', 'kuliah', 'nya', 'tenggat', 'waktu', 'mata', 'pelajaran', 'dimulai', 'misal', 'menit', 'jam', 'kuliah', 'bindo', 'mulai', 'jadi', 'gak', 'perlu', 'cek', 'manual', 'jadwal', 'mengirangira', 'waktu', 'udah', 'beranda']"
"permisi mau tanya, itu peringkat kuis yang sekarang berdasarkan apa ya? kalau yg sebelumnya kan berdasarkan waktu. terimakasih kak.",permisi mau tanya itu peringkat kuis yang sekarang berdasarkan apa ya kalau yg sebelumnya kan berdasarkan waktu terimakasih kak,"['permisi', 'mau', 'tanya', 'peringkat', 'kuis', 'sekarang', 'berdasarkan', 'apa', 'kalau', 'yg', 'sebelumnya', 'kan', 'berdasarkan', 'waktu', 'terimakasih', 'kak']"
"Kenapa di akun saya ketika dowload tugas dari dosen tidak bisa menggunakan kuota sendir,semua file tidak terdownload jika dengan kuota, hanya bisa dengan wifi",kenapa di akun saya ketika dowload tugas dari dosen tidak bisa menggunakan kuota sendirsemua file tidak terdownload jika dengan kuota hanya bisa dengan wifi,"['akun', 'dowload', 'tugas', 'dosen', 'menggunakan', 'kuota', 'sendirsemua', 'file', 'terdownload', 'kuota', 'wifi']"
Tolong tambahin fitur kirim tugas video dong masa iya gak ada kan nyusahin,tolong tambahin fitur kirim tugas video dong masa iya gak ada kan nyusahin,"['tambahin', 'fitur', 'kirim', 'tugas', 'video', 'dong', 'masa', 'iya', 'gak', 'kan', 'nyusahin']"
"""Uwow"" kata Panjul untuk edlink",uwow kata panjul untuk edlink,"['uwow', 'kata', 'panjul', 'edlink']"
"Tolong di bantu perbaikin sistem nya harus menyesuaikan dengan beberapa device meskipun versi lama (misal android 5) agar dapat menggunakan fitur kuis diaplikasinya, soalnya gak bisa menggunakan kuis di versi android 5 :V",tolong di bantu perbaikin sistem nya harus menyesuaikan dengan beberapa device meskipun versi lama misal android  agar dapat menggunakan fitur kuis diaplikasinya soalnya gak bisa menggunakan kuis di versi android  v,"['bantu', 'perbaikin', 'sistem', 'nya', 'menyesuaikan', 'beberapa', 'device', 'meskipun', 'versi', 'lama', 'misal', 'android', 'menggunakan', 'fitur', 'kuis', 'diaplikasinya', 'soalnya', 'gak', 'menggunakan', 'kuis', 'versi', 'android', 'v']"
Aman,aman,['aman']
Mimpi buruk,mimpi buruk,"['mimpi', 'buruk']"
Tolong perbaiki masalah untuk saat melakukan scan barcode tetapi tidak kedetek,tolong perbaiki masalah untuk saat melakukan scan barcode tetapi tidak kedetek,"['perbaiki', 'masalah', 'melakukan', 'scan', 'barcode', 'kedetek']"
"Ini kn setiap kami instal dan slesai ,stelah itu kembali lgi ketahap awal utk instal kembali . Mohon bantuanya !",ini kn setiap kami instal dan slesai stelah itu kembali lgi ketahap awal utk instal kembali  mohon bantuanya,"['kn', 'instal', 'slesai', 'stelah', 'lgi', 'ketahap', 'awal', 'utk', 'instal', 'mohon', 'bantuanya']"
Download KTM di edlink ndk biasa buka Tolong di perbaiki,download ktm di edlink ndk biasa buka tolong di perbaiki,"['download', 'ktm', 'edlink', 'ndk', 'biasa', 'buka', 'perbaiki']"
"Ok, saya ada kendala",ok saya ada kendala,['kendala']
Bagus,bagus,['bagus']
"Tiba"" kelas saya hilang",tiba kelas saya hilang,"['tiba', 'kelas', 'hilang']"
Mantap,mantap,['mantap']
"membingungkan anjir tampilannya, login mulu, banyak fitur gak guna + berita² mengganggu",membingungkan anjir tampilannya login mulu banyak fitur gak guna  berita² mengganggu,"['membingungkan', 'anjir', 'tampilannya', 'login', 'mulu', 'banyak', 'fitur', 'gak', 'berita²', 'mengganggu']"
Aplikasi yang sangat menjengkelkan ketika verifikasi gak bisa bisa taik,aplikasi yang sangat menjengkelkan ketika verifikasi gak bisa bisa taik,"['aplikasi', 'sangat', 'menjengkelkan', 'verifikasi', 'gak', 'taik']"
Sekarang udah banyak perbaikan semoga aja makin banyak perbaikan bugnya,sekarang udah banyak perbaikan semoga aja makin banyak perbaikan bugnya,"['sekarang', 'udah', 'banyak', 'perbaikan', 'semoga', 'aja', 'makin', 'banyak', 'perbaikan', 'bugnya']"
"Sistem perkuliahan kacau, gak otomatis update, udah kayak robot",sistem perkuliahan kacau gak otomatis update udah kayak robot,"['sistem', 'perkuliahan', 'kacau', 'gak', 'otomatis', 'update', 'udah', 'kayak', 'robot']"
"Bagaimana cara masuknya, loading terus, tidak bisa masuk ke aplikasinya? Mohon jawabannya",bagaimana cara masuknya loading terus tidak bisa masuk ke aplikasinya mohon jawabannya,"['bagaimana', 'cara', 'masuknya', 'loading', 'terus', 'masuk', 'aplikasinya', 'mohon', 'jawabannya']"
M.rohid tampan dan pemberani,mrohid tampan dan pemberani,"['mrohid', 'tampan', 'pemberani']"
"Tampilan sekarang beranda nya ancur ga se simple yg dulu, setiap dosen memberikan materi harus buka di menu kelas , menghambat banget. Tolong kembalikan ke versi yang dulu beranda nya",tampilan sekarang beranda nya ancur ga se simple yg dulu setiap dosen memberikan materi harus buka di menu kelas  menghambat banget tolong kembalikan ke versi yang dulu beranda nya,"['tampilan', 'sekarang', 'beranda', 'nya', 'ancur', 'ga', 'se', 'simple', 'yg', 'dulu', 'dosen', 'memberikan', 'materi', 'buka', 'menu', 'kelas', 'menghambat', 'banget', 'kembalikan', 'versi', 'dulu', 'beranda', 'nya']"
Kak ini gimana misalkan file penuh kok gabisa dihapus,kak ini gimana misalkan file penuh kok gabisa dihapus,"['kak', 'gimana', 'misalkan', 'file', 'penuh', 'kok', 'gabisa', 'dihapus']"
Saya tidak bisa masuk ke edlink tolong di bantu,saya tidak bisa masuk ke edlink tolong di bantu,"['masuk', 'edlink', 'bantu']"
Sangat membantu sekali dalam hal akademik,sangat membantu sekali dalam hal akademik,"['sangat', 'membantu', 'sekali', 'akademik']"
Maaf banget ini edlink suka susah nge upload tugas padahal mepet deadline tapi suka gabisa harus di upgrade giliran mau di upgrade da ga perlu di upgrade,maaf banget ini edlink suka susah nge upload tugas padahal mepet deadline tapi suka gabisa harus di upgrade giliran mau di upgrade da ga perlu di upgrade,"['maaf', 'banget', 'edlink', 'suka', 'susah', 'nge', 'upload', 'tugas', 'padahal', 'mepet', 'deadline', 'suka', 'gabisa', 'upgrade', 'giliran', 'mau', 'upgrade', 'da', 'ga', 'perlu', 'upgrade']"
Segala harus android 13 !!!,segala harus android,"['segala', 'android']"
"Tolong perbaiki fitur download filenya... kok susah download, notifikasi susah muncul.. kukira ga respon atau gimana, jadi pencet 2 atu 3x lagi dan ternyata notif downloadnya telat muncul.. alhasil file yang ke download jadi numpuk.. Terus kadang juga proses download gagal. Tolong fix ya min ;)",tolong perbaiki fitur download filenya kok susah download notifikasi susah muncul kukira ga respon atau gimana jadi pencet  atu x lagi dan ternyata notif downloadnya telat muncul alhasil file yang ke download jadi numpuk terus kadang juga proses download gagal tolong fix ya min,"['perbaiki', 'fitur', 'download', 'filenya', 'kok', 'susah', 'download', 'notifikasi', 'susah', 'muncul', 'kukira', 'ga', 'respon', 'gimana', 'jadi', 'pencet', 'atu', 'x', 'ternyata', 'notif', 'downloadnya', 'telat', 'muncul', 'alhasil', 'file', 'download', 'jadi', 'numpuk', 'terus', 'kadang', 'proses', 'download', 'gagal', 'fix', 'min']"
"Bang, sering nge bug bg apknya kayak pas main nembus tembok di mid lane",bang sering nge bug bg apknya kayak pas main nembus tembok di mid lane,"['bang', 'sering', 'nge', 'bug', 'bg', 'apknya', 'kayak', 'pas', 'main', 'nembus', 'tembok', 'mid', 'lane']"
Bang kok ga bisa beli hero baru?,bang kok ga bisa beli hero baru,"['bang', 'kok', 'ga', 'beli', 'hero', 'baru']"
Sangat puas,sangat puas,"['sangat', 'puas']"
"Kenapa sih sehabis update mau masuk tapi gabisa"" di kode verifikasi akun, padahal udah sama tapi bilangnya VALIDATION DIGITS_BETWEEN mulu. Udah mau lewat deadline nggak bisa submit karna gabisa masuk.",kenapa sih sehabis update mau masuk tapi gabisa di kode verifikasi akun padahal udah sama tapi bilangnya validation digitsbetween mulu udah mau lewat deadline nggak bisa submit karna gabisa masuk,"['sih', 'sehabis', 'update', 'mau', 'masuk', 'gabisa', 'kode', 'verifikasi', 'akun', 'padahal', 'udah', 'sama', 'bilangnya', 'validation', 'digitsbetween', 'mulu', 'udah', 'mau', 'lewat', 'deadline', 'submit', 'karna', 'gabisa', 'masuk']"
Jelek banget aplikasinya makanya sayah kasih 5 bintang,jelek banget aplikasinya makanya sayah kasih  bintang,"['jelek', 'banget', 'aplikasinya', 'makanya', 'sayah', 'kasih', 'bintang']"
Saya tiap ada pelajaran online join zoom via Edlink😤😤Selalu gak bisa😤malah jadi kayak error kluar zoom mulu Tolong diperbaiki,saya tiap ada pelajaran online join zoom via edlinkselalu gak bisamalah jadi kayak error kluar zoom mulu tolong diperbaiki,"['tiap', 'pelajaran', 'online', 'join', 'zoom', 'via', 'edlinkselalu', 'gak', 'bisamalah', 'jadi', 'kayak', 'error', 'kluar', 'zoom', 'mulu', 'diperbaiki']"
woi kelas gw ilang semua asu gimana mau ngumpulin tugas bgst,woi kelas gw ilang semua asu gimana mau ngumpulin tugas bgst,"['woi', 'kelas', 'gw', 'ilang', 'semua', 'asu', 'gimana', 'mau', 'ngumpulin', 'tugas', 'bgst']"
Dosen gak masuk suruh absensi pakai edlink scane barcode tapi gak bisa 😭,dosen gak masuk suruh absensi pakai edlink scane barcode tapi gak bisa,"['dosen', 'gak', 'masuk', 'suruh', 'absensi', 'pakai', 'edlink', 'scane', 'barcode', 'gak']"
"Tolong tambahkan fitur zoom untuk presensi QR nya, saya malas ke depan.",tolong tambahkan fitur zoom untuk presensi qr nya saya malas ke depan,"['tambahkan', 'fitur', 'zoom', 'presensi', 'qr', 'nya', 'malas', 'depan']"
Baik,baik,['baik']
"kendala saya tidak bisa scan barcode asben,jadi absen harus langsung ke dosen gimana ya?",kendala saya tidak bisa scan barcode asbenjadi absen harus langsung ke dosen gimana ya,"['kendala', 'scan', 'barcode', 'asbenjadi', 'absen', 'langsung', 'dosen', 'gimana']"
الحمد لله Mantap,الحمد لله mantap,"['الحمد', 'لله', 'mantap']"
"Kenapa akun ku tiba2 kluar, stelah masuk kembali ke akun kenapa semua data sya terhapus",kenapa akun ku tiba kluar stelah masuk kembali ke akun kenapa semua data sya terhapus,"['akun', 'ku', 'tiba', 'kluar', 'stelah', 'masuk', 'akun', 'semua', 'data', 'sya', 'terhapus']"
ini knp ya aku mau masuk ke apknya tapi loading trs padahal make WiFi,ini knp ya aku mau masuk ke apknya tapi loading trs padahal make wifi,"['knp', 'aku', 'mau', 'masuk', 'apknya', 'loading', 'trs', 'padahal', 'make', 'wifi']"
"apk nya kalo lagi buru buru mau dibuka malah ga kebuka buka cuma loading doang lama , padahal wifi kenceng , ga jelas",apk nya kalo lagi buru buru mau dibuka malah ga kebuka buka cuma loading doang lama  padahal wifi kenceng  ga jelas,"['apk', 'nya', 'kalo', 'buru', 'buru', 'mau', 'dibuka', 'malah', 'ga', 'kebuka', 'buka', 'cuma', 'loading', 'doang', 'lama', 'padahal', 'wifi', 'kenceng', 'ga', 'jelas']"
"Sangat buruk, untuk ganti pasword saja sulit, mepet deadline suka eror,",sangat buruk untuk ganti pasword saja sulit mepet deadline suka eror,"['sangat', 'buruk', 'ganti', 'pasword', 'sulit', 'mepet', 'deadline', 'suka', 'eror']"
Ok 👌 mantap 👍👍,ok  mantap,['mantap']
Dowload mteri filenya rusak mulu,dowload mteri filenya rusak mulu,"['dowload', 'mteri', 'filenya', 'rusak', 'mulu']"
Ini gmn yak saya mau login tetapi email yg saya masukkin sudah digunakan terus pdhl saya belum pernah masuk dgn email tersebut. Di web siakad sudah saya cantumkan sesuai email saya. Tolong dong gmnnnnn...,ini gmn yak saya mau login tetapi email yg saya masukkin sudah digunakan terus pdhl saya belum pernah masuk dgn email tersebut di web siakad sudah saya cantumkan sesuai email saya tolong dong gmnnnnn,"['gmn', 'yak', 'mau', 'login', 'email', 'yg', 'masukkin', 'digunakan', 'terus', 'pdhl', 'pernah', 'masuk', 'dgn', 'email', 'tersebut', 'web', 'siakad', 'cantumkan', 'sesuai', 'email', 'dong', 'gmnnnnn']"
kenapa tidak bisa di buka di hp saya?awalnya baik2 saja,kenapa tidak bisa di buka di hp sayaawalnya baik saja,"['buka', 'hp', 'sayaawalnya', 'baik']"
Bagus,bagus,['bagus']
Masa cuma gua dong kaga bisa aplod tugas Sedangkan temen gua pada bisa aplod tugas Tolong di perbaikin lagih,masa cuma gua dong kaga bisa aplod tugas sedangkan temen gua pada bisa aplod tugas tolong di perbaikin lagih,"['masa', 'cuma', 'gua', 'dong', 'kaga', 'aplod', 'tugas', 'temen', 'gua', 'aplod', 'tugas', 'perbaikin', 'lagih']"
Wuiz bagus by fajar lazuardi,wuiz bagus by fajar lazuardi,"['wuiz', 'bagus', 'by', 'fajar', 'lazuardi']"
Bagus semoga lebih baik lgi,bagus semoga lebih baik lgi,"['bagus', 'semoga', 'lebih', 'baik', 'lgi']"
"Pas buka materi gak bisa kebuka, tulisanya ""berkas sedang di unduh"" tapi gak ada berkas yang bisa di buka aneh banget",pas buka materi gak bisa kebuka tulisanya berkas sedang di unduh tapi gak ada berkas yang bisa di buka aneh banget,"['pas', 'buka', 'materi', 'gak', 'kebuka', 'tulisanya', 'berkas', 'sedang', 'unduh', 'gak', 'berkas', 'buka', 'aneh', 'banget']"
Aplikasi nya kenapa ya sering banget loading nya lamaaaaaa pas buka app,aplikasi nya kenapa ya sering banget loading nya lamaaaaaa pas buka app,"['aplikasi', 'nya', 'sering', 'banget', 'loading', 'nya', 'lamaaaaaa', 'pas', 'buka', 'app']"
Jelek banget ini aplikasi nyusahin orang aja,jelek banget ini aplikasi nyusahin orang aja,"['jelek', 'banget', 'aplikasi', 'nyusahin', 'orang', 'aja']"
Gbisa donlot,gbisa donlot,"['gbisa', 'donlot']"
Sevima kenapa yaa baru download langsung keluar lagi,sevima kenapa yaa baru download langsung keluar lagi,"['sevima', 'yaa', 'baru', 'download', 'langsung', 'keluar']"
"Inpo Bantuan dong , edlink saya eror dan tak bIsa amasuk lagi ke akun saya",inpo bantuan dong  edlink saya eror dan tak bisa amasuk lagi ke akun saya,"['inpo', 'bantuan', 'dong', 'edlink', 'eror', 'tak', 'amasuk', 'akun']"
Lumayan,lumayan,['lumayan']
Good banget yaaa,good banget yaaa,"['good', 'banget', 'yaaa']"
"Masukin kode verifikasi gagal teru, Jadi bolos absen jadinya, mau sampai semester selesai?",masukin kode verifikasi gagal teru jadi bolos absen jadinya mau sampai semester selesai,"['masukin', 'kode', 'verifikasi', 'gagal', 'teru', 'jadi', 'bolos', 'absen', 'jadinya', 'mau', 'semester', 'selesai']"
Good,good,['good']
mantap,mantap,['mantap']
"setelah di update, opsi data akademik nya malah di hapus padhal sangat membantu",setelah di update opsi data akademik nya malah di hapus padhal sangat membantu,"['update', 'opsi', 'data', 'akademik', 'nya', 'malah', 'hapus', 'padhal', 'sangat', 'membantu']"
"sayangilah orang lain seperti kita menyayangi diri sendiri. berkatalah yang benar meskipun itu pahit, siapa yang banyak menyebut sesuatu maka sungguh dia banyak menyebutnya. jangan berhenti berbuat baik walaupun sesulit apapun. jadilah diri sendiri. jangan bersedih kepada sesuatu hal yang tidak patut kau tangisi, berbagilah ilmu walu satu ayat, jangan pernah menghinakan orang lain, karena itu sangat menyakitkan bagi dirimu dan orang lain.. bertaqwalah kepada allah jangan pernah berhenti.. jaya",sayangilah orang lain seperti kita menyayangi diri sendiri berkatalah yang benar meskipun itu pahit siapa yang banyak menyebut sesuatu maka sungguh dia banyak menyebutnya jangan berhenti berbuat baik walaupun sesulit apapun jadilah diri sendiri jangan bersedih kepada sesuatu hal yang tidak patut kau tangisi berbagilah ilmu walu satu ayat jangan pernah menghinakan orang lain karena itu sangat menyakitkan bagi dirimu dan orang lain bertaqwalah kepada allah jangan pernah berhenti jaya,"['sayangilah', 'orang', 'menyayangi', 'diri', 'sendiri', 'berkatalah', 'benar', 'meskipun', 'pahit', 'siapa', 'banyak', 'menyebut', 'sungguh', 'banyak', 'menyebutnya', 'jangan', 'berhenti', 'berbuat', 'baik', 'walaupun', 'sesulit', 'apapun', 'jadilah', 'diri', 'sendiri', 'jangan', 'bersedih', 'patut', 'kau', 'tangisi', 'berbagilah', 'ilmu', 'walu', 'satu', 'ayat', 'jangan', 'pernah', 'menghinakan', 'orang', 'sangat', 'menyakitkan', 'dirimu', 'orang', 'bertaqwalah', 'allah', 'jangan', 'pernah', 'berhenti', 'jaya']"
"gimana si edlink ini malah force close terus gabisa masuk, dari dulu gaada perbaikan bug",gimana si edlink ini malah force close terus gabisa masuk dari dulu gaada perbaikan bug,"['gimana', 'si', 'edlink', 'malah', 'force', 'close', 'terus', 'gabisa', 'masuk', 'dulu', 'gaada', 'perbaikan', 'bug']"
Setelah di-update tidak bisa melihat Akreditasi. Mohon agar menu ini dimunculkan kembali seperti versi sebelumnya. Terimakasih.,setelah diupdate tidak bisa melihat akreditasi mohon agar menu ini dimunculkan kembali seperti versi sebelumnya terimakasih,"['diupdate', 'melihat', 'akreditasi', 'mohon', 'menu', 'dimunculkan', 'versi', 'sebelumnya', 'terimakasih']"
Sangat membantu untuk mahasiswa,sangat membantu untuk mahasiswa,"['sangat', 'membantu', 'mahasiswa']"
Masukkan kode verifikasi sudah benar tapi di baca sama aplikasi salah... Berulang gt trus,masukkan kode verifikasi sudah benar tapi di baca sama aplikasi salah berulang gt trus,"['masukkan', 'kode', 'verifikasi', 'benar', 'baca', 'sama', 'aplikasi', 'salah', 'berulang', 'gt', 'trus']"
aplikasi sering buffering padahal koneksi internet lancar,aplikasi sering buffering padahal koneksi internet lancar,"['aplikasi', 'sering', 'buffering', 'padahal', 'koneksi', 'internet', 'lancar']"
"Saya sedikit curhat, Waktu dikampus saya Ada absen pakai Code QR, cuman Pas saya arahin Kamera ke codenya malah Buram alias tidak bisa scan ,hal hasil saya sendiri Ga bisa absen Tolong Solusinya😭",saya sedikit curhat waktu dikampus saya ada absen pakai code qr cuman pas saya arahin kamera ke codenya malah buram alias tidak bisa scan hal hasil saya sendiri ga bisa absen tolong solusinya,"['sedikit', 'curhat', 'waktu', 'dikampus', 'absen', 'pakai', 'code', 'qr', 'cuman', 'pas', 'arahin', 'kamera', 'codenya', 'malah', 'buram', 'alias', 'scan', 'hasil', 'sendiri', 'ga', 'absen', 'solusinya']"
Saya mengikuti prosedur,saya mengikuti prosedur,"['mengikuti', 'prosedur']"
"sangat buruk ,mending beralih buatan kampus sendiri malah di ganti ke pemerintah",sangat buruk mending beralih buatan kampus sendiri malah di ganti ke pemerintah,"['sangat', 'buruk', 'mending', 'beralih', 'buatan', 'kampus', 'sendiri', 'malah', 'ganti', 'pemerintah']"
Versi baru kenapa selalu forcedown sendiri/keluar sendiri? Lebih ok versi lama,versi baru kenapa selalu forcedown sendirikeluar sendiri lebih ok versi lama,"['versi', 'baru', 'selalu', 'forcedown', 'sendirikeluar', 'sendiri', 'lebih', 'versi', 'lama']"
Lumayan bagus,lumayan bagus,"['lumayan', 'bagus']"
"Bintang nya saya rubah kembali , ini knp gk bisa buka di hp ya hadeuh . Saya mengerjakan tugas jadi gk bisa di hp harus di buka di laptop/pc katanya",bintang nya saya rubah kembali  ini knp gk bisa buka di hp ya hadeuh  saya mengerjakan tugas jadi gk bisa di hp harus di buka di laptoppc katanya,"['bintang', 'nya', 'rubah', 'knp', 'gk', 'buka', 'hp', 'hadeuh', 'mengerjakan', 'tugas', 'jadi', 'gk', 'hp', 'buka', 'laptoppc', 'katanya']"
"Ini gimana ya saya tiap mau masuk ke aplikasi nya langsung kluar sndiri, sudah reinstall ato coba hapus data juga tetep, tlong bantuannya saya butuhh sekali",ini gimana ya saya tiap mau masuk ke aplikasi nya langsung kluar sndiri sudah reinstall ato coba hapus data juga tetep tlong bantuannya saya butuhh sekali,"['gimana', 'tiap', 'mau', 'masuk', 'aplikasi', 'nya', 'langsung', 'kluar', 'sndiri', 'reinstall', 'ato', 'coba', 'hapus', 'data', 'tetep', 'tlong', 'bantuannya', 'butuhh', 'sekali']"
Tidak bisa login stiap kali login edlink berhenti sendiri,tidak bisa login stiap kali login edlink berhenti sendiri,"['login', 'stiap', 'kali', 'login', 'edlink', 'berhenti', 'sendiri']"
Ribet,ribet,['ribet']
Aku kasih bintang 3 dl ya,aku kasih bintang  dl ya,"['aku', 'kasih', 'bintang', 'dl']"
"Aplikasinya kenapa ya,setiap dibuka pasti langsung keluar lagi",aplikasinya kenapa yasetiap dibuka pasti langsung keluar lagi,"['aplikasinya', 'yasetiap', 'dibuka', 'langsung', 'keluar']"
Good,good,['good']
Saya membantu untuk aktif di kampus,saya membantu untuk aktif di kampus,"['membantu', 'aktif', 'kampus']"
Sangat membantu,sangat membantu,"['sangat', 'membantu']"
Aplikasinya setelah di update tidak bisa lagi di buka,aplikasinya setelah di update tidak bisa lagi di buka,"['aplikasinya', 'update', 'buka']"
"Ketika apk dah di login nin mengunakan Nim, sudah masuk terus bufring keluar dengan sendirinya",ketika apk dah di login nin mengunakan nim sudah masuk terus bufring keluar dengan sendirinya,"['apk', 'dah', 'login', 'nin', 'mengunakan', 'nim', 'masuk', 'terus', 'bufring', 'keluar', 'sendirinya']"
"aplikasinya ga bisa dibuka, kuliah pun jadi keganggu",aplikasinya ga bisa dibuka kuliah pun jadi keganggu,"['aplikasinya', 'ga', 'dibuka', 'kuliah', 'jadi', 'keganggu']"
Good,good,['good']
Tidak bisa download pdf,tidak bisa download pdf,"['download', 'pdf']"
Buat scan barcode absen ga bisa sama sekali,buat scan barcode absen ga bisa sama sekali,"['buat', 'scan', 'barcode', 'absen', 'ga', 'sama', 'sekali']"
"Kok Edlink saya nggak bisa dibuka ya? Tiap saya masuk pasti keluar terus. Tolong solusinya dong, sayang klw ketinggalan perkuliahan kan!!",kok edlink saya nggak bisa dibuka ya tiap saya masuk pasti keluar terus tolong solusinya dong sayang klw ketinggalan perkuliahan kan,"['kok', 'edlink', 'dibuka', 'tiap', 'masuk', 'keluar', 'terus', 'solusinya', 'dong', 'sayang', 'klw', 'ketinggalan', 'perkuliahan', 'kan']"
Cepat dan mudah digunakan,cepat dan mudah digunakan,"['cepat', 'mudah', 'digunakan']"
Penggunaan yang baik untuk mahasiswa,penggunaan yang baik untuk mahasiswa,"['penggunaan', 'baik', 'mahasiswa']"
Baguss,baguss,['baguss']
Sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']"
Aplikasi yang sangat bermanfaat untuk mahasiswa dan perkuliahannya.,aplikasi yang sangat bermanfaat untuk mahasiswa dan perkuliahannya,"['aplikasi', 'sangat', 'bermanfaat', 'mahasiswa', 'perkuliahannya']"
Kenapa z tidak bisah install,kenapa z tidak bisah install,"['z', 'bisah', 'install']"
Edlink sangat membantu Dosen dan Mahasiswa dalam Proses Belajar Mengajar. Terima Kasih Edlink,edlink sangat membantu dosen dan mahasiswa dalam proses belajar mengajar terima kasih edlink,"['edlink', 'sangat', 'membantu', 'dosen', 'mahasiswa', 'proses', 'belajar', 'mengajar', 'terima', 'kasih', 'edlink']"
Sangat membantu belajar online.,sangat membantu belajar online,"['sangat', 'membantu', 'belajar', 'online']"
Memudahkan informasi perkuliahan,memudahkan informasi perkuliahan,"['memudahkan', 'informasi', 'perkuliahan']"
"Kualitas Aplikasi Sangat jelek, loading lama padahal jaringan wifi lancar, banyak bug, nilai dan beberapa fitur tidak muncul dan hanya loading, jelek",kualitas aplikasi sangat jelek loading lama padahal jaringan wifi lancar banyak bug nilai dan beberapa fitur tidak muncul dan hanya loading jelek,"['kualitas', 'aplikasi', 'sangat', 'jelek', 'loading', 'lama', 'padahal', 'jaringan', 'wifi', 'lancar', 'banyak', 'bug', 'nilai', 'beberapa', 'fitur', 'muncul', 'loading', 'jelek']"
Oke,oke,['oke']
Tadi lgi kuis tiba2 obtionnya loading sampai kehabisan waktu😭,tadi lgi kuis tiba obtionnya loading sampai kehabisan waktu,"['tadi', 'lgi', 'kuis', 'tiba', 'obtionnya', 'loading', 'kehabisan', 'waktu']"
Aplikasi sangat bagus untuk pantau informasi kuliah,aplikasi sangat bagus untuk pantau informasi kuliah,"['aplikasi', 'sangat', 'bagus', 'pantau', 'informasi', 'kuliah']"
Top banget,top banget,"['top', 'banget']"
Sangat baik,sangat baik,"['sangat', 'baik']"
Knpa aplikasi edlink tdk bisa install?,knpa aplikasi edlink tdk bisa install,"['knpa', 'aplikasi', 'edlink', 'tdk', 'install']"
Aplikasinya sangat bagus,aplikasinya sangat bagus,"['aplikasinya', 'sangat', 'bagus']"
"Semakin parah File PDF yang ingin saya kirim tidak muncul di edlink, padahal di aplikasi lain muncul. Saya habis waktu 15 menit hanya untuk mencari file yg jelas"" Namanya beda. Bahkan saya mencari lebih dari 10x hanya untuk mencari file saya. Tolong ditingkatkan jangan malah semakin menurun. Soalnya ini bersangkutan dengan nilai saya pak 😭",semakin parah file pdf yang ingin saya kirim tidak muncul di edlink padahal di aplikasi lain muncul saya habis waktu  menit hanya untuk mencari file yg jelas namanya beda bahkan saya mencari lebih dari x hanya untuk mencari file saya tolong ditingkatkan jangan malah semakin menurun soalnya ini bersangkutan dengan nilai saya pak,"['semakin', 'parah', 'file', 'pdf', 'kirim', 'muncul', 'edlink', 'padahal', 'aplikasi', 'muncul', 'habis', 'waktu', 'menit', 'mencari', 'file', 'yg', 'jelas', 'namanya', 'beda', 'bahkan', 'mencari', 'lebih', 'x', 'mencari', 'file', 'ditingkatkan', 'jangan', 'malah', 'semakin', 'menurun', 'soalnya', 'bersangkutan', 'nilai', 'pak']"
Good,good,['good']
"Kenapa ya,aku mau upload tugas dari tadi muter trus padahal penyimpanan gak penuh,wifi juga lancar... Kemarin2 juga lancar gak kenapa2",kenapa yaaku mau upload tugas dari tadi muter trus padahal penyimpanan gak penuhwifi juga lancar kemarin juga lancar gak kenapa,"['yaaku', 'mau', 'upload', 'tugas', 'tadi', 'muter', 'trus', 'padahal', 'penyimpanan', 'gak', 'penuhwifi', 'lancar', 'kemarin', 'lancar', 'gak']"
"Oke udah lumayan, bintang 4 dulu yah. Nanti kalau memuaskan kasi bintang 5",oke udah lumayan bintang  dulu yah nanti kalau memuaskan kasi bintang,"['oke', 'udah', 'lumayan', 'bintang', 'dulu', 'yah', 'kalau', 'memuaskan', 'kasi', 'bintang']"
🙏,,[]
"Tampilan keren, biar makin mudah dalam pelaksanaan tugas. Mantep sekali yah min..",tampilan keren biar makin mudah dalam pelaksanaan tugas mantep sekali yah min,"['tampilan', 'keren', 'biar', 'makin', 'mudah', 'pelaksanaan', 'tugas', 'mantep', 'sekali', 'yah', 'min']"
